address,time_in,time_out,lp_tokens_deposited
0x7713bcf7af17efc10fbc0ca7786a1488154cdca9,1632261156,1632261156,6470666666666666640784
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632261580,1632261580,10587365043943305135498
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632261932,1632261932,9161364632900009672511
0x8ff55b93a1ed400e8bc44dc0026459209700a704,1632262077,1632262077,7000000000000000000000
0x4a7998df2cd16815271bb6b7d3ae7eb30f50a73a,1632262107,1632262107,99055754160000000000000
0x426a04b46e1052712b021213a63fe40e5376f8cf,1632262209,1632262209,41981255179233543487948
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1632262209,1632262209,41981255179233543487948
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632262890,1632262890,21500000000000000000000
0x58bcae299794f50aa7e607189a8f8cc7330021cc,1632263264,1632263264,3927112492786268076999
0x0a6ca057ff6ea5b5f9db057e595e14eecd8f6d84,1632263807,1632263807,39080166666666666510346
0xe8e61db7918bd88e5ff764ad5393e87d7aaef9ad,1632263877,1632263877,22180392945970476564495
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632263886,1632263886,35884332442974993348256
0x2325079108ce42689af06157854f2f48cb268aba,1632263908,1632263908,13216999999999999947132
0x9a45c63ef50d0cc8ccdaffc54ea5ac8007313a6f,1632264101,1632264101,62420737442974887202636
0xf481861810e0670b591b774434ad6c3f3ad84e53,1632264751,1632264751,14003010700000000000000
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1632264751,1632264751,14003010700000000000000
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632264803,1632264803,113300934440715468453
0x6c575a588c6277f8a3ea6180d070fc3759cf6de6,1632265244,1632265244,6270988159134992750326
0xb8ef60d0e15fdd1e9eca0e7ee9071cbef1dc0e61,1632265802,1632265802,51164166666666666462010
0xe26067c76fdbe877f48b0a8400cf5db8b47af0fe,1632266136,1632266136,61240108333333088372900
0x6a6743b85899cc2571c8034e209f74f5a92a0e9b,1632266520,1632266520,6177749999999886030018
0x52181215886f6bc17801e1e4f49d273ac954d6a8,1632266672,1632266672,15751166666666666603662
0xdb995c1264821e0fe5230ae86db05a6592478723,1632266738,1632266738,8434166666666666632930
0x5774c601c1d485590949b99d386705164f31a953,1632266845,1632266845,10070333333333333293052
0x0d049ff9e69a3960a33ed27cf63f5b53debc0981,1632268207,1632268207,5118999999999999979524
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632268427,1632268427,12123228660173897972776
0x03948243ab118759fbf5e1d25fa11a98b75ddbcf,1632268496,1632268496,1036504999999995853980
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632268588,1632268588,9844863005200950611394
0x7e3058ebee6e5f3adb830dfb02746830a22ae0af,1632268747,1632268747,1477694491227449995673
0xaec0346bd9635cebad7bbd0fa8d0fe4282dbcb99,1632268986,1632268986,27966412143250581344401
0xebcea89d0e3beb500449f7216bb0f456d1fd93cb,1632269783,1632269783,15471166160173884581026
0x7e3058ebee6e5f3adb830dfb02746830a22ae0af,1632269915,1632269915,8367168513973500615721
0xc79c88386c95130bf7c20a184cb8281ed639fab4,1632270199,1632270199,18357876666666593235160
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632270746,1632270746,11021327251477188124815
0x5282ee9a2301ad89433f8038c5ccf40c3649a85e,1632270967,1632270967,15472729751477170319205
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632271336,1632271336,10287546955442354212817
0x17518effe921c5ff6e9afc9673315bc12fbb2f48,1632271410,1632271410,17000000000000000000000
0xd3b608dd6f10a84f5e4a1ceab98de44e61e1f095,1632271830,1632271830,19412499999999999922350
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1632272209,1632272209,12719619999999949121520
0x5da487ea7278e25288fd4f0f9243e3fa61bc7443,1632272338,1632272338,5965433333333309471600
0x741b5bc279403a3a40c8bf375d819ff974ccaa56,1632272529,1632272529,110115051486242256443401
0xafb8f9c89197bcc1953bc6dc2bd5d6a9b681c6be,1632272652,1632272652,15164447499999944522358
0x414533f66a8359db22c3b74733826fdfe7fcc72f,1632273294,1632273294,3000000000000000000000
0x4558dffbc15ed774f551ad1fe76a3b1f81601a4f,1632273419,1632273419,307252931714848341339378
0x414533f66a8359db22c3b74733826fdfe7fcc72f,1632273419,1632273419,3410304645971732826832
0x29d400e1eafbfb418b4129f2776785a7c7cfc50b,1632273520,1632273520,20000000000000000000000
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632274022,1632274022,60678283843955125501459
